Date,bitcoin,ethereum,terra-luna-v2,terra-luna,ethereum-classic,bnb,cosmos,solana,shiba-inu,cardano
2022-08-15,24302.8,1935.1,2.0532,0.0001002,41.5293,317.51,11.5805,44.876,1.692e-05,0.5695
2022-08-16,24101.7,1900.25,1.985,9.66e-05,41.9472,319.5,11.4002,43.71,1.526e-05,0.5499
2022-08-17,23856.8,1876.7,1.9981,9.7e-05,39.8901,316.11,11.3937,43.127,1.581e-05,0.5571
2022-08-18,23338.0,1834.18,1.926,9.49e-05,40.3002,306.9,11.7443,40.519,1.477e-05,0.5382
2022-08-19,23203.6,1846.51,1.7752,9.31e-05,39.5602,298.01,11.4453,39.495,1.348e-05,0.5119
2022-08-20,20831.3,1609.48,1.5958,8.58e-05,32.9677,279.12,10.7739,35.844,1.316e-05,0.4502
2022-08-21,21138.9,1575.6,1.6217,8.8e-05,32.7902,283.8,10.2345,35.28,1.288e-05,0.4507
2022-08-22,21517.2,1618.25,1.6759,9.03e-05,33.6202,301.71,10.6414,36.458,1.347e-05,0.4626
2022-08-23,21416.3,1626.75,1.6705,9.17e-05,34.0988,300.2,11.0949,35.45,1.315e-05,0.4619
2022-08-24,21517.2,1664.89,1.8085,0.0001058,34.3292,299.11,12.1172,35.657,1.331e-05,0.4648
2022-08-25,21365.2,1656.64,1.7157,9.99e-05,35.3099,296.4,13.0118,34.896,1.305e-05,0.4578
2022-08-26,21565.4,1695.37,1.8167,0.0001308,37.101,301.3,12.8514,35.29,1.392e-05,0.4645
2022-08-27,20249.9,1508.08,1.6186,0.0001236,33.8821,279.22,11.545,31.756,1.243e-05,0.4312
2022-08-28,20033.9,1490.83,1.6129,0.0001338,33.0008,277.8,11.1649,31.523,1.215e-05,0.4496
2022-08-29,19550.2,1426.25,1.5477,0.000125,30.8208,276.49,10.5578,30.33,1.177e-05,0.4289
2022-08-30,20295.8,1552.6,1.6439,0.0001314,33.5403,285.9,11.4387,32.42,1.248e-05,0.4504
2022-08-31,19792.6,1523.34,1.7318,0.0001587,32.3095,281.5,11.9053,31.443,1.218e-05,0.4526
2022-09-01,20043.9,1555.12,1.7853,0.0002208,32.4293,279.11,11.8263,31.507,1.21e-05,0.4461
2022-09-02,20126.1,1585.48,1.9932,0.0002754,32.9006,278.31,12.7307,31.603,1.226e-05,0.4573
2022-09-03,19952.7,1575.34,1.8549,0.0002408,32.4405,277.5,12.6166,31.257,1.217e-05,0.4543
2022-09-04,19831.4,1557.55,1.861,0.0002608,32.2296,277.8,12.6276,31.12,1.232e-05,0.4802
2022-09-05,19999.9,1578.89,1.813,0.0002541,32.4604,278.91,13.0318,32.13,1.285e-05,0.5034
2022-09-06,19793.1,1617.07,1.9976,0.0004051,39.5638,276.71,12.6277,32.157,1.262e-05,0.4986
2022-09-07,18786.4,1557.85,1.8454,0.0003794,34.3784,262.3,11.7758,30.872,1.201e-05,0.4623
2022-09-08,19281.5,1629.51,1.8829,0.0004393,37.2703,278.81,12.9294,32.681,1.225e-05,0.4785
2022-09-09,19317.4,1634.85,1.9098,0.0005159,37.0735,280.5,13.8778,33.603,1.221e-05,0.479
2022-09-10,21365.2,1718.81,5.0861,0.0004295,39.1807,293.4,16.1263,34.719,1.292e-05,0.5025
2022-09-11,21650.4,1774.38,6.423,0.0004364,39.2401,296.61,15.9739,35.055,1.326e-05,0.5121
