Date,100trillionUSD,aeyakovenko,ajamesbragg,alex_dreyfus,AntonioMJuliano,AriannaSimpson,BarrySilbert,beeple,BobLoukas,BoredApeYC,borgetsebastien,breitwoman,CaitlinLong_,CathieDWood,cobie,crypto_birb,CryptoClimAcc,cuysheffield,CynthiaMLummis,cz_binance,dawnsongtweets,dfinzer,el33th4xor,elonmusk,emiliemc,eordano,ErikVoorhees,ethereumJoseph,Excellion,FrancisSuarez,GaryGensler,gavofyork,haydenzadams,hirst_official,jack,JoeDiPasquale,josephpallant,k06a,kaiynne,KieranWarwick,KMSmithDC,kris,LeahWald,MarkYusko,masason,Mashinsky,mcuban,Melt_Dem,MMCrypto,nayibbukele,newmichwill,novogratz,OwnYourDataNow,PancakeSwap,RaoulGMI,rektcapital,rleshner,roham,roneilr,sandeepnailwal,SanjaKon,saylor,SBF_FTX,Scaramucci,SerenaTabacchi,SergeyNazarov,SnoopDogg,stablekwon,StaniKulechov,starkness,stevekokinos,TheCryptoDog,TheiaSupernova,thisisPatDuffy,TomBrady,trungfinity,VanessaGrellet_,VitalikButerin,woonomic,yoniassia,ysiu,zcpeng,zhusu
2022-08-15,335,25,0,13,50,-16,-168,153,41,366,29,3,1,357,161,214,2,4,7,4363,36,11,34,49554,7,-5,78,61,203,3,22,213,232,9,-145,1,-1,12,89,-9,1,64,-7,25,-40,26,467,44,1727,1847,16,44,2,477,244,89,44,-4,-1,222,-6,1292,404,-170,2,33,604,-185,762,17,-1,167,-3,-1,504,-3,1,3709,79,-3,102,-1,-22
2022-08-16,315,136,-1,-8,25,7,314,223,39,1943,39,1,8,166,588,76,6,0,14,5553,31,31,11,50395,13,0,7,97,60,-5,14,241,175,17,-194,0,-2,27,38,11,-5,90,-6,41,-104,0,187,60,1263,1091,6,7,1,385,225,142,61,4,1,172,-1,1393,1628,81,7,19,1295,-51,356,34,5,79,3,2,273,-6,4,3972,30,1,131,-4,41
2022-08-17,189,66,-2,0,19,0,-38,239,13,15521,80,-6,54,163,427,60,2,7,-13,2975,29,16,46,146068,17,6,-11,63,56,6,15,167,108,16,-157,0,1,25,24,17,14,30,6,20,-110,-9,496,30,2546,1295,11,-31,1,365,176,76,30,30,5,187,-6,1381,682,-187,-1,14,1179,-51,123,49,-7,38,-12,-1,247,-2,8,2540,-36,11,123,2,-20
2022-08-18,131,6,2,95,13,6,-77,349,58,570,63,2,69,165,130,3,0,7,141,3970,21,-10,-11,85266,28,4,12,61,42,-11,101,102,87,15,-47,1,1,21,44,12,1,90,5,3,-141,13,305,18,1898,1227,-2,4,-1,452,86,104,286,0,0,136,-8,724,367,89,1,31,784,-101,128,26,9,-37,2,-3,289,-8,9,2002,-33,-1,123,4,-50
2022-08-19,18,42,1,134,33,-16,-88,298,18,228,118,-2,2,141,110,-32,1,10,6,2375,36,6,-23,97969,23,4,17,45,480,-4,12,165,91,32,-45,-1,0,12,32,-5,6,63,-3,100,-123,-40,267,27,2438,1361,6,-37,-1,385,52,72,189,28,-1,206,2,640,294,-33,0,16,695,-283,131,-2,1,82,-10,2,241,-3,-5,2645,-48,-7,113,-4,-29
2022-08-20,32,106,-2,149,18,-6,74,95,11,488,135,0,17,102,149,61,-5,-1,-24,1338,29,20,191,102655,35,6,25,48,31,6,67,187,74,28,-146,0,-1,13,26,3,3,74,-1,45,-52,-25,231,168,1508,1805,12,-23,-1,651,69,-8,47,116,1,167,-3,580,500,13,1,8,3109,17,126,4,1,50,-1,2,787,2,1,2598,4,7,385,-3,106
2022-08-21,35,188,0,13,13,14,-14,134,50,684,35,138,9,128,252,57,1,-1,-11,3950,6,13,12,98162,9,2,43,59,336,-3,31,103,138,30,-88,1,0,11,77,3,1,63,-1,60,-153,-27,522,126,1934,1878,6,-20,5,539,121,110,39,14,2,119,-1,570,424,-26,3,21,1717,-168,106,2,-1,77,-2,0,767,-5,-3,3109,13,3,298,-4,12
2022-08-22,45,59,-1,4,8,-2,-15,136,37,415,12,16,14,102,209,22,5,3,-23,9849,2,7,-5,90572,1,-1,5,62,100,-1,24,19,32,15,843,0,2,8,21,-6,-2,47,-2,40,-140,-28,840,25,1181,1516,-2,-33,12,463,213,152,28,-6,-2,101,3,894,257,-11,3,-5,1423,-294,87,-8,-5,-54,-8,1,772,4,-4,3167,18,0,97,-3,-120
2022-08-23,47,33,1,53,9,3,-2,226,64,311,19,-3,19,120,132,32,0,0,-24,2009,7,5,46,-1502,16,0,21,63,117,-5,19,99,52,21,-501,0,-1,11,17,12,4,58,-2,29,-132,-25,-296,25,1063,1125,10,-13,3,1028,251,75,46,14,-1,75,-1,1438,502,-37,11,20,1205,-146,108,71,1,4,2,-2,1320,-5,0,564,26,4,73,4,-38
2022-08-24,-33,94,1,183,36,-4,-45,227,107,573,99,163,24,86,135,64,2,11,-6,725,3,8,19,83880,23,2,0,55,24,169,838,62,92,12,-109,0,2,11,32,17,4,39,1,14,-107,-26,229,121,1062,801,5,-5,2,-70,189,287,29,-10,0,145,4,-164,365,-32,-1,20,605,-155,113,20,-5,7,1,-2,1121,-2,11,2582,6,0,196,4,-31
