Date,100trillionUSD,aeyakovenko,ajamesbragg,alex_dreyfus,AntonioMJuliano,AriannaSimpson,BarrySilbert,beeple,BobLoukas,BoredApeYC,borgetsebastien,breitwoman,CaitlinLong_,CathieDWood,cobie,crypto_birb,CryptoClimAcc,cuysheffield,CynthiaMLummis,cz_binance,dawnsongtweets,dfinzer,el33th4xor,elonmusk,emiliemc,eordano,ErikVoorhees,ethereumJoseph,Excellion,FrancisSuarez,GaryGensler,gavofyork,haydenzadams,hirst_official,jack,JoeDiPasquale,josephpallant,k06a,kaiynne,KieranWarwick,KMSmithDC,kris,LeahWald,MarkYusko,masason,Mashinsky,mcuban,Melt_Dem,MMCrypto,nayibbukele,newmichwill,novogratz,OwnYourDataNow,PancakeSwap,RaoulGMI,rektcapital,rleshner,roham,roneilr,sandeepnailwal,SanjaKon,saylor,SBF_FTX,Scaramucci,SerenaTabacchi,SergeyNazarov,SnoopDogg,stablekwon,StaniKulechov,starkness,stevekokinos,TheCryptoDog,TheiaSupernova,thisisPatDuffy,TomBrady,trungfinity,VanessaGrellet_,VitalikButerin,woonomic,yoniassia,ysiu,zcpeng,zhusu
2022-08-15,1853415,193321,5790,222713,44957,109933,761566,698074,194937,993508,93857,22015,179917,1467474,722680,662646,7639,21616,91090,6791531,23989,70018,279446,103300182,40203,12198,600263,291460,240912,137297,242902,360349,229311,70730,6433655,870,3880,24507,114705,32714,22934,191433,31575,137835,3014494,191503,8802195,251467,1113596,4130817,17900,469073,29029,1607995,971629,326405,113170,88385,7628,191536,23105,2667421,757031,1026703,6451,124672,20371161,1026265,194528,147450,18503,746363,28060,3605,2839381,31615,10640,4194625,1044870,46887,117123,20587,569374
2022-08-16,1853730,193457,5789,222705,44982,109940,761880,698297,194976,995451,93896,22016,179925,1467640,723268,662722,7645,21616,91104,6797084,24020,70049,279457,103350577,40216,12198,600270,291557,240972,137292,242916,360590,229486,70747,6433461,870,3878,24534,114743,32725,22929,191523,31569,137876,3014390,191503,8802382,251527,1114859,4131908,17906,469080,29030,1608380,971854,326547,113231,88389,7629,191708,23104,2668814,758659,1026784,6458,124691,20372456,1026214,194884,147484,18508,746442,28063,3607,2839654,31609,10644,4198597,1044900,46888,117254,20583,569415
2022-08-17,1853919,193523,5787,222705,45001,109940,761842,698536,194989,1010972,93976,22010,179979,1467803,723695,662782,7647,21623,91091,6800059,24049,70065,279503,103496645,40233,12204,600259,291620,241028,137298,242931,360757,229594,70763,6433304,870,3879,24559,114767,32742,22943,191553,31575,137896,3014280,191494,8802878,251557,1117405,4133203,17917,469049,29031,1608745,972030,326623,113261,88419,7634,191895,23098,2670195,759341,1026597,6457,124705,20373635,1026163,195007,147533,18501,746480,28051,3606,2839901,31607,10652,4201137,1044864,46899,117377,20585,569395
2022-08-18,1854050,193529,5789,222800,45014,109946,761765,698885,195047,1011542,94039,22012,180048,1467968,723825,662785,7647,21630,91232,6804029,24070,70055,279492,103581911,40261,12208,600271,291681,241070,137287,243032,360859,229681,70778,6433257,871,3880,24580,114811,32754,22944,191643,31580,137899,3014139,191507,8803183,251575,1119303,4134430,17915,469053,29030,1609197,972116,326727,113547,88419,7634,192031,23090,2670919,759708,1026686,6458,124736,20374419,1026062,195135,147559,18510,746443,28053,3603,2840190,31599,10661,4203139,1044831,46898,117500,20589,569345
2022-08-19,1854068,193571,5790,222934,45047,109930,761677,699183,195065,1011770,94157,22010,180050,1468109,723935,662753,7648,21640,91238,6806404,24106,70061,279469,103679880,40284,12212,600288,291726,241550,137283,243044,361024,229772,70810,6433212,870,3880,24592,114843,32749,22950,191706,31577,137999,3014016,191467,8803450,251602,1121741,4135791,17921,469016,29029,1609582,972168,326799,113736,88447,7633,192237,23092,2671559,760002,1026653,6458,124752,20375114,1025779,195266,147557,18511,746525,28043,3605,2840431,31596,10656,4205784,1044783,46891,117613,20585,569316
2022-08-20,1854100,193677,5788,223083,45065,109924,761751,699278,195076,1012258,94292,22010,180067,1468211,724084,662814,7643,21639,91214,6807742,24135,70081,279660,103782535,40319,12218,600313,291774,241581,137289,243111,361211,229846,70838,6433066,870,3879,24605,114869,32752,22953,191780,31576,138044,3013964,191442,8803681,251770,1123249,4137596,17933,468993,29028,1610233,972237,326791,113783,88563,7634,192404,23089,2672139,760502,1026666,6459,124760,20378223,1025796,195392,147561,18512,746575,28042,3607,2841218,31598,10657,4208382,1044787,46898,117998,20582,569422
2022-08-21,1854135,193865,5788,223096,45078,109938,761737,699412,195126,1012942,94327,22148,180076,1468339,724336,662871,7644,21638,91203,6811692,24141,70094,279672,103880697,40328,12220,600356,291833,241917,137286,243142,361314,229984,70868,6432978,871,3879,24616,114946,32755,22954,191843,31575,138104,3013811,191415,8804203,251896,1125183,4139474,17939,468973,29033,1610772,972358,326901,113822,88577,7636,192523,23088,2672709,760926,1026640,6462,124781,20379940,1025628,195498,147563,18511,746652,28040,3607,2841985,31593,10654,4211491,1044800,46901,118296,20578,569434
2022-08-22,1854180,193924,5787,223100,45086,109936,761722,699548,195163,1013357,94339,22164,180090,1468441,724545,662893,7649,21641,91180,6821541,24143,70101,279667,103971269,40329,12219,600361,291895,242017,137285,243166,361333,230016,70883,6433821,871,3881,24624,114967,32749,22952,191890,31573,138144,3013671,191387,8805043,251921,1126364,4140990,17937,468940,29045,1611235,972571,327053,113850,88571,7634,192624,23091,2673603,761183,1026629,6465,124776,20381363,1025334,195585,147555,18506,746598,28032,3608,2842757,31597,10650,4214658,1044818,46901,118393,20575,569314
2022-08-23,1854227,193957,5788,223153,45095,109939,761720,699774,195227,1013668,94358,22161,180109,1468561,724677,662925,7649,21641,91156,6823550,24150,70106,279713,103969767,40345,12219,600382,291958,242134,137280,243185,361432,230068,70904,6433320,871,3880,24635,114984,32761,22956,191948,31571,138173,3013539,191362,8804747,251946,1127427,4142115,17947,468927,29048,1612263,972822,327128,113896,88585,7633,192699,23090,2675041,761685,1026592,6476,124796,20382568,1025188,195693,147626,18507,746602,28034,3606,2844077,31592,10650,4215222,1044844,46905,118466,20579,569276
2022-08-24,1854194,194051,5789,223336,45131,109935,761675,700001,195334,1014241,94457,22324,180133,1468647,724812,662989,7651,21652,91150,6824275,24153,70114,279732,104053647,40368,12221,600382,292013,242158,137449,244023,361494,230160,70916,6433211,871,3882,24646,115016,32778,22960,191987,31572,138187,3013432,191336,8804976,252067,1128489,4142916,17952,468922,29050,1612193,973011,327415,113925,88575,7633,192844,23094,2674877,762050,1026560,6475,124816,20383173,1025033,195806,147646,18502,746609,28035,3604,2845198,31590,10661,4217804,1044850,46905,118662,20583,569245
